REF,ChangeKey,Unnamed: 0,Company Name,Location,Country,Space_Code,,Launch Date,Datum,Vehicle Type,Detail,Status Rocket, Rocket,Status Mission
3409,RVSN USSR44517,3409,RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",Russia,Site,,11/17/2021,"Tue Nov 17, 1970 UTC",Cosmos-3M (11K65M) ,Cosmos-3M (11K65M) | Cosmos 378,StatusRetired,,Success
3410,RVSN USSR25883,3410,RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,Site,,11/11/1970,"Wed Nov 11, 1970 09:20 UTC",Voskhod ,Voskhod | Cosmos 377,StatusRetired,,Success
3411,RVSN USSR25882,3411,RVSN USSR,"Site 81/23, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,Site,,11/10/1970,"Tue Nov 10, 1970 14:40 UTC",Proton K/Block D ,Proton K/Block D | Luna-17,StatusRetired,,Success
3412,Martin Marietta25878,3412,Martin Marietta,"SLC-40, Cape Canaveral AFS, Florida, USA",USA,SLC-40,,11/6/1970,"Fri Nov 06, 1970 10:35 UTC",Titan III(23)C ,Titan III(23)C | OPS-5960 (IMEWS-1/DSP-1),StatusRetired,,Partial Failure
3413,RAE25874,3413,RAE,"LA-5B, RAAF Woomera Range Complex, Australia",Australia,LA-5B,,11/2/1970,"Mon Nov 02, 1970 00:34 UTC",Black Arrow ,Black Arrow | Orba,StatusRetired,,Failure
3414,RVSN USSR25871,3414,RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",Russia,Site,,10/30/1970,"Fri Oct 30, 1970 13:20 UTC",Voskhod ,Voskhod | Cosmos 376,StatusRetired,,Success
3415,RVSN USSR25871,3415,RVSN USSR,"Site 90/20, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,Site,,10/30/1970,"Fri Oct 30, 1970 02:36 UTC",Tsyklon-2 ,Tsyklon-2 | Cosmos 375,StatusRetired,,Success
3416,US Air Force25864,3416,US Air Force,"SLC-4W, Vandenberg AFB, California, USA",USA,SLC-4W,,10/23/1970,"Fri Oct 23, 1970 17:40 UTC",Titan III(23)B ,Titan III(23)B | OPS 7568,StatusRetired,,Success
3417,RVSN USSR25864,3417,RVSN USSR,"Site 90/20, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,Site,,10/23/1970,"Fri Oct 23, 1970 04:42 UTC",Tsyklon-2 ,Tsyklon-2 | Cosmos 374,StatusRetired,,Success
3418,RVSN USSR25861,3418,RVSN USSR,"Site 81/23, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,Site,,10/20/1970,"Tue Oct 20, 1970 19:55 UTC",Proton K/Block D ,Proton K/Block D | Zond-8,StatusRetired,,Success
3419,RVSN USSR25861,3419,RVSN USSR,"Site 90/19, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,Site,,10/20/1970,"Tue Oct 20, 1970 05:38 UTC",Tsyklon-2 ,Tsyklon-2 | Cosmos 373,StatusRetired,,Success
3420,RVSN USSR25857,3420,RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",Russia,Site,,10/16/1970,"Fri Oct 16, 1970 15:00 UTC",Cosmos-3M (11K65M) ,Cosmos-3M (11K65M) | Cosmos 372,StatusRetired,,Success
3421,RVSN USSR25856,3421,RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",Russia,Site,,10/15/1970,"Thu Oct 15, 1970 11:22 UTC",Vostok-2M ,Vostok-2M | Meteor nâ€ Â­17,StatusRetired,,Success
3422,RVSN USSR25855,3422,RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",Russia,Site,,10/14/1970,"Wed Oct 14, 1970 11:30 UTC",Cosmos-2I (63SM) ,Cosmos-2I (63SM) | Intercosmos-4,StatusRetired,,Success
3423,RVSN USSR25853,3423,RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",Russia,Site,,10/12/1970,"Mon Oct 12, 1970 13:57 UTC",Cosmos-3M (11K65M) ,Cosmos-3M (11K65M) | Cosmos 371,StatusRetired,,Success
3424,RVSN USSR25850,3424,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,Site,,10/9/1970,"Fri Oct 09, 1970 11:04 UTC",Voskhod ,Voskhod | Cosmos 370,StatusRetired,,Success
3425,RVSN USSR25849,3425,RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",Russia,Site,,10/8/1970,"Thu Oct 08, 1970 15:10 UTC",Cosmos-2I (63SM) ,Cosmos-2I (63SM) | Cosmos 369,StatusRetired,,Success
3426,RVSN USSR25849,3426,RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,Site,,10/8/1970,"Thu Oct 08, 1970 12:39 UTC",Voskhod ,Voskhod | Cosmos 368,StatusRetired,,Success
